bin_start_leaf_index	FliJ	FliH	MotE	FliK	FliG
6900	50.0	50.0	0.0	0.0	0.0
6950	50.0	50.0	0.0	0.0	0.0
7000	49.0	50.0	0.0	0.0	0.0
7050	48.0	48.0	0.0	1.0	2.0
7100	50.0	50.0	0.0	0.0	0.0
7150	44.0	49.0	0.0	0.0	0.0
7200	45.0	43.0	0.0	0.0	0.0
7250	50.0	50.0	0.0	0.0	0.0
7300	50.0	50.0	0.0	0.0	0.0
7350	50.0	50.0	0.0	0.0	0.0
7400	49.0	49.0	0.0	1.0	0.0
7450	50.0	49.0	0.0	1.0	0.0
7500	49.0	46.0	0.0	19.0	0.0
7550	48.0	45.0	0.0	0.0	1.0
7600	38.0	50.0	0.0	0.0	0.0
7650	46.0	49.0	0.0	0.0	0.0
7700	44.0	50.0	0.0	0.0	0.0
7750	45.0	50.0	0.0	0.0	0.0
7800	49.0	50.0	0.0	0.0	0.0
7850	50.0	48.0	0.0	0.0	0.0
7900	49.0	50.0	0.0	0.0	0.0
7950	50.0	49.0	0.0	0.0	0.0
8000	47.0	50.0	0.0	0.0	0.0
8050	50.0	50.0	0.0	0.0	0.0
8100	50.0	50.0	0.0	0.0	0.0
8150	49.0	48.0	0.0	0.0	0.0
8200	50.0	50.0	0.0	0.0	0.0
8250	50.0	50.0	0.0	0.0	0.0
8300	44.0	49.0	0.0	0.0	0.0
8350	45.0	49.0	0.0	18.0	0.0
8400	47.0	46.0	0.0	19.0	0.0
8450	27.0	44.0	0.0	9.0	2.0
8500	48.0	43.0	0.0	1.0	1.0
8550	48.0	14.0	0.0	0.0	1.0
8600	49.0	25.0	0.0	0.0	0.0
8650	45.0	41.0	0.0	0.0	0.0
8700	47.0	41.0	0.0	13.0	0.0
8750	38.0	45.0	0.0	2.0	0.0
8800	42.0	47.0	0.0	14.0	0.0
8850	48.0	50.0	0.0	32.0	0.0
8900	44.0	50.0	0.0	27.0	0.0
8950	49.0	50.0	0.0	40.0	0.0
9000	50.0	50.0	0.0	28.0	0.0
9050	46.0	46.0	0.0	33.0	0.0
9100	34.0	46.0	0.0	41.0	0.0
9150	1.0	50.0	0.0	44.0	0.0
9200	27.0	49.0	0.0	43.0	0.0
9250	49.0	50.0	0.0	27.0	0.0
9300	40.0	49.0	0.0	31.0	0.0
9350	26.0	49.0	0.0	7.0	1.0
9400	46.0	49.0	0.0	3.0	1.0
9450	45.0	47.0	0.0	6.0	0.0
9500	7.0	49.0	0.0	24.0	0.0
9550	7.0	50.0	0.0	6.0	0.0
9600	2.0	28.0	0.0	16.0	0.0
9650	2.0	26.0	0.0	10.0	0.0
9700	3.0	26.0	0.0	38.0	0.0
9750	2.0	18.0	0.0	28.0	0.0
9800	7.0	44.0	0.0	30.0	0.0
9850	4.0	34.0	0.0	25.0	0.0
9900	14.0	43.0	2.0	5.0	1.0
9950	39.0	49.0	10.0	0.0	5.0
10000	39.0	49.0	33.0	5.0	0.0
10050	44.0	46.0	0.0	12.0	1.0
10100	42.0	48.0	10.0	3.0	5.0
10150	50.0	50.0	21.0	0.0	7.0
10200	50.0	50.0	39.0	0.0	6.0
10250	50.0	50.0	7.0	0.0	27.0
10300	50.0	50.0	42.0	0.0	12.0
10350	50.0	49.0	49.0	0.0	3.0
10400	50.0	49.0	31.0	0.0	2.0
10450	50.0	50.0	14.0	0.0	1.0
10500	50.0	50.0	14.0	0.0	1.0
10550	50.0	50.0	46.0	0.0	5.0
10600	47.0	49.0	33.0	0.0	6.0
10650	50.0	50.0	25.0	0.0	4.0
10700	49.0	50.0	23.0	25.0	7.0
10750	50.0	50.0	12.0	16.0	1.0
10800	50.0	50.0	47.0	0.0	1.0
10850	50.0	50.0	50.0	0.0	2.0
10900	50.0	49.0	49.0	0.0	3.0
10950	50.0	50.0	47.0	0.0	1.0
11000	49.0	50.0	48.0	0.0	0.0
11050	49.0	50.0	48.0	0.0	2.0
11100	50.0	50.0	47.0	0.0	0.0
11150	50.0	50.0	47.0	0.0	2.0
11200	50.0	50.0	49.0	0.0	0.0
11250	50.0	50.0	48.0	0.0	0.0
11300	50.0	50.0	47.0	0.0	1.0
11350	49.0	48.0	28.0	0.0	2.0
11400	50.0	50.0	37.0	0.0	0.0
11450	50.0	50.0	46.0	0.0	0.0
11500	49.0	50.0	29.0	0.0	0.0
11550	49.0	49.0	40.0	0.0	8.0
11600	50.0	50.0	49.0	0.0	0.0
11650	50.0	50.0	43.0	0.0	2.0
11700	50.0	50.0	41.0	0.0	3.0
11750	50.0	49.0	31.0	0.0	4.0
11800	49.0	49.0	25.0	1.0	6.0
11850	46.0	45.0	33.0	0.0	7.0
11900	46.0	50.0	9.0	10.0	5.0
11950	45.0	48.0	8.0	9.0	9.0
12000	49.0	50.0	16.0	0.0	10.0
12050	48.0	50.0	0.0	0.0	3.0
12100	49.0	48.0	0.0	0.0	0.0
12150	43.0	34.0	0.0	0.0	0.0
12200	39.0	23.0	0.0	0.0	0.0
12250	43.0	40.0	1.0	0.0	10.0
12300	20.0	47.0	0.0	0.0	4.0
