gene,GTDBr214_P_present,GTDBr214_call@0.5,GTDBr214_call@0.7,GTDBr214_call@0.9,hybrid_order_level_P_present,hybrid_order_level_call@0.5,hybrid_order_level_call@0.7,hybrid_order_level_call@0.9,hybrid_family_level_P_present,hybrid_family_level_call@0.5,hybrid_family_level_call@0.7,hybrid_family_level_call@0.9,consistent_across_runs
MotX,1.0203801376456834e-05,absent,absent,absent,3.302354133680385e-08,absent,absent,absent,7.256595629087965e-08,absent,absent,absent,True
MotY,4.2865994545053887e-05,absent,absent,absent,7.565796754401689e-08,absent,absent,absent,1.6786353622293689e-07,absent,absent,absent,True
PflA,0.0002162421802654,absent,absent,absent,5.459209377134391e-08,absent,absent,absent,1.2446747150342608e-07,absent,absent,absent,True
PflB,7.190194608369567e-06,absent,absent,absent,2.5199332794851012e-08,absent,absent,absent,5.63108481989095e-08,absent,absent,absent,True
PilZ,0.9990214742061606,present,present,present,0.9999983201450268,present,present,present,0.9999943742983164,present,present,present,True
Putative,0.9987119536578812,present,present,present,0.9999698527898137,present,present,present,0.9999973402726188,present,present,present,True
SwrA,3.519065464702602e-07,absent,absent,absent,1.0285368466648788e-05,absent,absent,absent,4.733458562375136e-06,absent,absent,absent,True
SwrB,0.9994929017310838,present,present,present,0.9961593326557509,present,present,present,0.9635108725228888,present,present,present,True
SwrD,0.999047239657613,present,present,present,0.9999982677990334,present,present,present,0.9999926028168912,present,present,present,True
Transglycosylase,0.9993149418141752,present,present,present,0.9999971971748834,present,present,present,0.9999540723401462,present,present,present,True
YdiV,0.0008270653220595,absent,absent,absent,8.864977406935044e-07,absent,absent,absent,1.036720748299464e-06,absent,absent,absent,True
YviE,0.0005795194343446,absent,absent,absent,0.0017907549845858,absent,absent,absent,0.0149772867941312,absent,absent,absent,True
YvyF,0.0638391216762673,absent,absent,absent,0.0003878907533511,absent,absent,absent,0.8649897099436511,present,present,absent,False
