source	clade_size	clade_members
gtdb_only	3	JdFR-76,QNDG01,UBA2214
gtdb_only	3	RBS10-35,SLMV01,Thermaerobacteria
gtdb_only	3	4484-107,Latescibacteria,UBA2968
gtdb_only	3	Gammaproteobacteria,Magnetococcia,Zetaproteobacteria
gtdb_only	3	Anaeroferrophillalia,Deferrimicrobia,S145-22
gtdb_only	3	Desulfobulbia,Dissulfuribacteria,Thermodesulfobacteria
gtdb_only	3	Dethiobacteria,Natranaerobiia,Proteinivoracia
gtdb_only	3	JABDJQ01,Krumholzibacteria,RBG-16-71-46
gtdb_only	3	4484-113,JAJVIF01,UBA6099
gtdb_only	3	Ch66,DSM-12270,Moorellia
flagella_only	3	Armatimonadia,Chthonomonadetes,HRBIN16
flagella_only	3	BSN033,QYQD01,SM23-61
flagella_only	3	Chloroflexia,FW602-bin22,UBA6077
flagella_only	3	CG2-30-53-67,Desulfofervidia,WTBG01
flagella_only	3	Chlamydiia,Kiritimatiellia,Lentisphaeria
flagella_only	3	MHYJ01,UBA8108,UBA8742
flagella_only	3	B62-G9,Brachyspirae,Brevinematia
flagella_only	3	AABM5-125-24,B3-LCP,BMS3BBIN04
flagella_only	3	Fusobacteriia,Muirbacteriia,UBA6191
flagella_only	3	Desulfarculia,Desulfobaccia,Syntrophobacteria
flagella_only	3	Dethiobacteria,Moorellia,UBA3575
flagella_only	3	9FT-COMBO-42-15,Nitrospiria,RBG-16-64-22
flagella_only	3	Deferrimicrobia,RBG-13-43-22,UBA8473
flagella_only	3	Bacilli,Clostridia,Dehalobacteriia
flagella_only	3	Aerophobia,Auribacteria,JAFGBW01
flagella_only	3	Bacteriovoracia,Bdellovibrionia,UBA1018
flagella_only	3	CAIWXX01,UBA6911,Vicinamibacteria
flagella_only	3	PGYV01,Riflemargulisbacteria,UBA6099
flagella_only	3	Alphaproteobacteria,Bacteroidia,Gammaproteobacteria
flagella_only	3	JAJZYS01,RBS10-35,Sulfobacillia
flagella_only	3	DTU084,Limnochordia,UBA5301
flagella_only	3	Aquificae,Calescibacteriia,Desulfurobacteriia
flagella_only	3	CAIYQO01,JAAZEB01,UBA5829
flagella_only	3	Myxococcia,UBA727,XYA12-FULL-58-9
gtdb_only	4	Acidimicrobiia,Actinomycetia,Geothermincolia,Thermoleophilia
gtdb_only	4	Blastocatellia,Terriglobia,UBA6911,Vicinamibacteria
gtdb_only	4	B62-G9,GWE2-31-10,JAAYUW01,Spirochaetia
gtdb_only	4	Coprothermobacteria,DUMJ01,Thermodesulfobiia,Thermotogae
gtdb_only	4	AABM5-125-24,B3-LCP,BMS3BBIN04,RPQS01
gtdb_only	4	Bacilli,Dethiobacteria,Natranaerobiia,Proteinivoracia
gtdb_only	4	BSN033,SM23-61,UBA8473,WTBG01
gtdb_only	4	Marinisomatia,SORT01,UBA2242,UBA8477
gtdb_only	4	Muirbacteriia,Ozemobacteria,UBA6191,UBA9980
gtdb_only	4	Aquificae,Campylobacteria,Desulfurellia,Desulfurobacteriia
gtdb_only	4	Anaeroferrophillalia,Deferrimicrobia,Deferrisomatia,S145-22
gtdb_only	4	9FT-COMBO-42-15,Nitrospiria,RBG-16-64-22,Thermodesulfovibrionia
gtdb_only	4	Nitrospinia,UBA7883,UBA8248,UBA9942
gtdb_only	4	Desulfotomaculia,GCA-003054495,Thermincolia,Z-2901
gtdb_only	4	Alphaproteobacteria,Gammaproteobacteria,Magnetococcia,Zetaproteobacteria
gtdb_only	4	DTPJ01,Hydrogenedentia,SURF-5,WGA-4E
gtdb_only	4	4484-107,Latescibacteria,MSB-5A5,UBA2968
gtdb_only	4	UBA4151,UBA727,WYAZ01,XYA12-FULL-58-9
gtdb_only	4	Aerophobia,Auribacteria,JAFGBW01,Koll11
gtdb_only	4	Bradymonadia,Polyangia,UBA796,UBA9042
flagella_only	4	Elusimicrobia,HRBIN17,UBA10988,UBA5377
flagella_only	4	Calditrichia,Marinisomatia,UBA2242,UBA8477
flagella_only	4	4484-113,JAJVIF01,Sericytochromatia,Vampirovibrionia
flagella_only	4	DTU015,DUSP01,JABLXB01,JAJYWN01
flagella_only	4	B15-G4,GCA-002687715,J058,UBA1135
flagella_only	4	Natranaerobiia,Proteinivoracia,Thermoanaerobacteria,Thermosediminibacteria
flagella_only	4	BSN033,DSM-4660,QYQD01,SM23-61
