source	clade_size	clade_members
gtdb_only	6	Aerophobota,Auribacterota,JACRDZ01,JAFGBW01,Omnitrophota,UBA9089
gtdb_only	6	Bacteroidota,Calditrichota,JdFR-76,KSB1,QNDG01,SM23-31
flagella_only	6	CG2-30-53-67,Desulfobacterota_E,Desulfobacterota_F,Nitrospinota,Nitrospirota,Schekmanbacteria
flagella_only	6	Actinomycetota,Armatimonadota,Bacillota_E,CSP1-3,Chloroflexota,Eremiobacterota
flagella_only	6	Fusobacteriota,Muirbacteria,Riflebacteria,Thermotogota,UBP17,Wallbacteria
flagella_only	6	Calditrichota,JdFR-76,KSB1,Marinisomatota,QNDG01,SM23-31
gtdb_only	7	Bacillota,Bacillota_A,Bacillota_B,Bacillota_C,Bacillota_D,Bacillota_H,DTU030
gtdb_only	7	CG2-30-53-67,Desulfobacterota_F,Methylomirabilota,Nitrospinota,Nitrospirota,Schekmanbacteria,UBA8248
gtdb_only	7	Chlamydiota,Lindowbacteria,Planctomycetota,Spirochaetota,T1Sed10-126,UBA8481,Verrucomicrobiota
flagella_only	7	CG2-30-53-67,Desulfobacterota,Desulfobacterota_E,Desulfobacterota_F,Nitrospinota,Nitrospirota,Schekmanbacteria
flagella_only	7	Bacillota_B,Bacillota_C,Bacillota_D,Bacillota_F,Bacillota_G,Bacillota_H,DTU030
gtdb_only	8	Aquificota,Calescibacterota,Campylobacterota,Chrysiogenota,Deferribacterota,Desulfobacterota_G,SZUA-79,Thermosulfidibacterota
gtdb_only	8	CG2-30-53-67,Desulfobacterota,Desulfobacterota_F,Methylomirabilota,Nitrospinota,Nitrospirota,Schekmanbacteria,UBA8248
gtdb_only	8	Bacillota,Bacillota_A,Bacillota_B,Bacillota_C,Bacillota_D,Bacillota_F,Bacillota_H,DTU030
flagella_only	8	CG2-30-53-67,Desulfobacterota,Desulfobacterota_E,Desulfobacterota_F,JACPQY01,Nitrospinota,Nitrospirota,Schekmanbacteria
flagella_only	8	Actinomycetota,Armatimonadota,Bacillota_E,CSP1-3,Chloroflexota,Elusimicrobiota,Eremiobacterota,JAAXVQ01
