source	clade_size	clade_members
gtdb_only	3	GWA2-58-10,Gemmatimonadales,Longimicrobiales
gtdb_only	3	Eubacteriales,Peptostreptococcales,Tissierellales
gtdb_only	3	Desulfitobacteriales,Heliobacteriales,UBA4068
gtdb_only	3	Petrotogales,Thermotogales,UBA12178
gtdb_only	3	JACRGQ01,Nitrospinales,UBA7883
gtdb_only	3	BW-2,GCF-002020875,GRL18
gtdb_only	3	B26-G9,Duberdicusellales,S143-82
gtdb_only	3	PWPR01,UBA5500,UBA994
gtdb_only	3	FEN-1173,JAAXVQ01,PGYV01
gtdb_only	3	Desulfobulbales,Dissulfuribacterales,Thermodesulfobacteriales
flagella_only	3	Caldalkalibacillales,Paenibacillales,Tepidibacillales
flagella_only	3	BSN033,QYQD01,SM23-61
flagella_only	3	Erysipelotrichales,Oscillospirales,UBA4068
flagella_only	3	Duberdicusellales,PGYV01,UBA6099
flagella_only	3	CALZJG01,Ga0077554,VBWC01
flagella_only	3	B62-G9,Brachyspirales,JAHITG01
flagella_only	3	JAEULC01,SMXQ01,UBA6615
flagella_only	3	FW602-bin22,Thermomicrobiales,UBA6077
flagella_only	3	Euzebyales,Nitriliruptorales,UBA5794
flagella_only	3	Acidithiobacillales,Burkholderiales,Enterobacterales
flagella_only	3	Latescibacterales,UBA2968,UBA8231
flagella_only	3	JAAYCJ01,Tepidisphaerales,UBA1845
flagella_only	3	Flavobacteriales,Puniceispirillales,TMED127
flagella_only	3	Monoglobales,UBA1212,UBA1381
flagella_only	3	Granulosicoccales,UBA4575,UWMA-0217
flagella_only	3	GCA-001735895,SZUA-229,UBA5861
flagella_only	3	DTU030,DUMP01,UBA5500
flagella_only	3	DULZ01,JADQBR01,PH28-bin88
flagella_only	3	JABDKV01,SLND01,Woeseiales
flagella_only	3	Ectothiorhodospirales,PWYM01,XN24
flagella_only	3	Gemmatimonadales,Longimicrobiales,RBG-16-71-46
flagella_only	3	Armatimonadales,Chthonomonadales,HRBIN16
flagella_only	3	CAIYQO01,UBA5829,WVXJ01
flagella_only	3	Acidoferrales,Terriglobales,UBA7540
flagella_only	3	Acetivibrionales,Acetivibrionales_A,SK-Y3
flagella_only	3	Caedimonadales,Paracaedibacterales,Rickettsiales
flagella_only	3	RF32,Rhodospirillales,Rhodospirillales_A
flagella_only	3	DSM-1736,Sporomusales,Sporomusales_C
flagella_only	3	JACRGQ01,UBA7883,UBA9942
flagella_only	3	B21-G9,Thermotogales,UBA12178
flagella_only	3	Berkiellales,Piscirickettsiales,UBA1113
flagella_only	3	CG2-30-53-67,Desulfofervidales,GWA2-38-11
flagella_only	3	GCA-2731375,Minwuiales,Sneathiellales
flagella_only	3	FEN-1346,SM23-33,Sedimentisphaerales
flagella_only	3	AABM5-125-24,B3-LCP,BMS3BBIN04
flagella_only	3	MHYJ01,UBA2392,WSZJ01
flagella_only	3	Fen-1088,Myxococcales,UBA727
flagella_only	3	Aerophobales,B26-G9,S143-82
flagella_only	3	DTU010,DTU087,JAAZLZ01
flagella_only	3	Baltobacterales,JAJZYS01,Sulfobacillales
flagella_only	3	Acidiferrobacterales,Arenicellales,Competibacterales
flagella_only	3	B130-G9,Deferrisomatales,JAJRXV01
flagella_only	3	Marinisomatales,UBA2242,UBA8477
flagella_only	3	Oceanibaculales,SHVZ01,Thalassobaculales
flagella_only	3	Deferrimicrobiales,UBA6902,UBA8473
flagella_only	3	Haliangiales,Nannocystales,Polyangiales
flagella_only	3	Limnocylindrales,Tepidiformales,UBA2979
flagella_only	3	Chthoniobacterales,Opitutales,Pedosphaerales
flagella_only	3	JACIZP01,QNDG01,UBA2214
flagella_only	3	B28-G17,DTPJ01,WGA-4E
flagella_only	3	Desulfobulbales,Desulfuromonadales,Geobacterales
flagella_only	3	DY22613,Halanaerobiales,Halobacteroidales
flagella_only	3	Chromatiales,JABHGC01,Methylococcales
flagella_only	3	B11-G9,DSM-16054,UBA9216
flagella_only	3	4572-78,Anaerolineales,DUEN01
flagella_only	3	Nevskiales,Steroidobacterales,Xanthomonadales
flagella_only	3	20CM-2-55-15,UBA6911,Vicinamibacterales
gtdb_only	4	21-64-14,CAIRSR01,HK1,JAABTG01
gtdb_only	4	Muirbacteriales,Ozemobacterales,UBA6191,UBA9980
gtdb_only	4	Acetivibrionales,Acetivibrionales_A,Saccharofermentanales,UBA1212
gtdb_only	4	CR04bin15,DRLW01,JACIZP01,UBA2214
gtdb_only	4	Fen-1088,GCA-2747355,Haliangiales,Palsa-1104
gtdb_only	4	Ga0077536,JAJPIJ01,Nitrosococcales,UBA4486
gtdb_only	4	JAJYVM01,RBS10-35,SLMV01,Thermaerobacterales
gtdb_only	4	Anaeromusales,CTSoil-072,Propionisporales,UMGS1260
gtdb_only	4	Bradymonadales,GCA-2863065,PHBI01,UBA7976
gtdb_only	4	Fibrobacterales,OXYB2-FULL-49-7,UBA11236,UBA5070
gtdb_only	4	Brocadiales,MHYJ01,SM23-32,WSZJ01
gtdb_only	4	Bacteroidales,Balneolales,Flavobacteriales,Rhodothermales
gtdb_only	4	JAHITG01,Leptospirales,Turneriellales,UBA4802
gtdb_only	4	FW602-bin22,Tepidiformales,UBA2979,UBA6077
gtdb_only	4	Gemmatales,Pan216,Pirellulales,Planctomycetales
gtdb_only	4	BSN033,JAGOGO01,SM23-61,UBA8473
gtdb_only	4	Marinisomatales,SCGC-AAA003-L08,UBA2242,UBA8477
gtdb_only	4	AABM5-125-24,B3-LCP,BMS3BBIN04,RPQS01
gtdb_only	4	B11-G9,DSM-16054,JC444,UBA9216
gtdb_only	4	C00003060,Desulfatiglandales,Desulfobacterales,JADFXK01
gtdb_only	4	ATCC43930,Elsterales,Oceanibaculales,SHVZ01
gtdb_only	4	Berkiellales,DSM-16500,Legionellales,UBA1113
gtdb_only	4	UBA4151,UBA727,WYAZ01,XYA12-FULL-58-9
gtdb_only	4	Auribacterales,B26-G9,Duberdicusellales,S143-82
gtdb_only	4	Acidiferrobacterales,Acidithiobacillales,Arenicellales,Burkholderiales
gtdb_only	4	Baltobacterales,JAJTBE01,RGZZ01,Xenobiales
gtdb_only	4	Ectothiorhodospirales,Ectothiorhodospirales_A,J044,UBA4575
gtdb_only	4	HDB-SIOI813,JACQBW01,Nitrospirales,SBBL01
