taxon	present_in
CAG-698	gtdb_only
CAG-826	gtdb_only
CAG-917	gtdb_only
CAIJKW01	gtdb_only
CAIJKY01	gtdb_only
CAIJMQ01	gtdb_only
CAIJYI01	gtdb_only
CAIJZX01	gtdb_only
CAIKAF01	gtdb_only
CAIKKV01	gtdb_only
CAIKLP01	gtdb_only
CAILAD01	gtdb_only
CAILIB01	gtdb_only
CAILMK01	gtdb_only
CAINMV01	gtdb_only
CAIODY01	gtdb_only
CAIOMD01	gtdb_only
CAIOSU01	gtdb_only
CAIOTO01	gtdb_only
CAIOVX01	gtdb_only
CAIPLT01	gtdb_only
CAIQBE01	gtdb_only
CAIQCK01	gtdb_only
CAIQCM01	gtdb_only
CAIQIC01	gtdb_only
CAIQNR01	gtdb_only
CAIRTM01	gtdb_only
CAIRYL01	gtdb_only
CAISOG01	gtdb_only
CAISPN01	gtdb_only
CAISUE01	gtdb_only
CAITLU01	gtdb_only
CAITNM01	gtdb_only
CAITNO01	gtdb_only
CAITUV01	gtdb_only
CAITUY01	gtdb_only
CAITYL01	gtdb_only
CAIUEV01	gtdb_only
CAIULA01	gtdb_only
CAIUPP01	gtdb_only
CAIVKH01	gtdb_only
CAIVPW01	gtdb_only
CAIWKO01	gtdb_only
CAIWVZ01	gtdb_only
CAIXNZ01	gtdb_only
CAIXZF01	gtdb_only
CAIYMF01	gtdb_only
CAIZLB01	gtdb_only
CAIZMI01	gtdb_only
CAJBRS01	gtdb_only
CAJJDF01	gtdb_only
CAJPTX01	gtdb_only
CAJQIN01	gtdb_only
CAJQKF01	gtdb_only
CAJQND01	gtdb_only
CAKKQC01	gtdb_only
CAKUMP01	gtdb_only
CALWSW01	gtdb_only
CAMBQF01	gtdb_only
CAMDFR01	gtdb_only
CCAP-1448	gtdb_only
CF-121	gtdb_only
CFX8	gtdb_only
CG03	gtdb_only
CG1-02-41-26	gtdb_only
CG1-02-43-26	gtdb_only
CG1-02-47-37	gtdb_only
CG2-30-32-10	gtdb_only
CG2-30-39-44	gtdb_only
CG2-30-40-12	gtdb_only
CG2-30-40-21	gtdb_only
CG2-30-59-28	gtdb_only
CG2-30-64-16	gtdb_only
CG2-30-70-394	gtdb_only
CHK158-818	gtdb_only
CLD3	gtdb_only
CPR2	gtdb_only
CSBR16-119	gtdb_only
CSBR16-193	gtdb_only
CSP1-2	gtdb_only
CSP1-3	gtdb_only
CSP1-5	gtdb_only
CSSED10-310	gtdb_only
CSSED10-335	gtdb_only
CSSED10-376	gtdb_only
CSSed11-197	gtdb_only
Caedimonadaceae	gtdb_only
Caenarcanaceae	gtdb_only
Caldisericaceae	gtdb_only
Calditerricolaceae	gtdb_only
Cardiobacteriaceae	gtdb_only
Catalimonadaceae	gtdb_only
Catenulisporaceae	gtdb_only
Cfx3-03	gtdb_only
Ch128b	gtdb_only
Ch27	gtdb_only
Chamaesiphonaceae	gtdb_only
Chisholmbacteraceae	gtdb_only
Chitinophagaceae	gtdb_only
Chlamydiaceae	gtdb_only
Chloracidobacteriaceae	gtdb_only
Chlorobiaceae	gtdb_only
Chloroflexaceae	gtdb_only
Chloroherpetonaceae	gtdb_only
Chromulinivoraceae	gtdb_only
Chroococcidiopsidaceae	gtdb_only
Cloacimonadaceae	gtdb_only
Coleofasciculaceae	gtdb_only
Colwellbacteraceae	gtdb_only
Comchoanobacteraceae	gtdb_only
Coprobacillaceae	gtdb_only
Coprobacteraceae	gtdb_only
Coprothermobacteraceae	gtdb_only
Coriobacteriaceae	gtdb_only
Coxiellaceae	gtdb_only
Criblamydiaceae	gtdb_only
Crocinitomicaceae	gtdb_only
Cryomorphaceae	gtdb_only
Cryosericaceae	gtdb_only
Cryptosporangiaceae	gtdb_only
Cyanobacteriaceae	gtdb_only
Cyanobiaceae	gtdb_only
Cyclobacteriaceae	gtdb_only
Cytophagaceae	gtdb_only
D1FN1-002	gtdb_only
D2-FULL-39-29	gtdb_only
D2472	gtdb_only
D37C17	gtdb_only
DEV007	gtdb_only
DG-60	gtdb_only
DG-74-3	gtdb_only
DRBW01	gtdb_only
DRKV01	gtdb_only
DRLZ01	gtdb_only
DRMV01	gtdb_only
DRUE01	gtdb_only
DRVO01	gtdb_only
DRXL01	gtdb_only
DRYD01	gtdb_only
DSAB01	gtdb_only
DSCS01	gtdb_only
DSFT01	gtdb_only
DSM-100316	gtdb_only
DSM-25080	gtdb_only
DSM-44946	gtdb_only
DSM-45169	gtdb_only
DSM-45221	gtdb_only
DSMQ01	gtdb_only
DSPV01	gtdb_only
DSQY01	gtdb_only
DSSB01	gtdb_only
DSUL01	gtdb_only
DSUN01	gtdb_only
DT-38	gtdb_only
DT-91	gtdb_only
DTEH01	gtdb_only
DTHP01	gtdb_only
DTIZ01	gtdb_only
DTJE01	gtdb_only
DTJG01	gtdb_only
DTJY01	gtdb_only
DTLA01	gtdb_only
DTU023	gtdb_only
DTU049	gtdb_only
DTU072	gtdb_only
DUEL01	gtdb_only
DUOF01	gtdb_only
DUPQ01	gtdb_only
DUUL01	gtdb_only
DUVY01	gtdb_only
