taxon	present_in
J137	gtdb_only
JAACEG01	gtdb_only
JAADDB01	gtdb_only
JAADFJ01	gtdb_only
JAADFP01	gtdb_only
JAADGY01	gtdb_only
JAADHQ01	gtdb_only
JAAEKA01	gtdb_only
JAANXI01	gtdb_only
JAAXGF01	gtdb_only
JAAXHH01	gtdb_only
JAAYEA01	gtdb_only
JAAYKD01	gtdb_only
JAAYUB01	gtdb_only
JAAYUI01	gtdb_only
JAAYZQ01	gtdb_only
JAAZAB01	gtdb_only
JABCZS01	gtdb_only
JABDET01	gtdb_only
JABDGN01	gtdb_only
JABDMI01	gtdb_only
JABIPA01	gtdb_only
JABMPQ01	gtdb_only
JABMQE01	gtdb_only
JABMQR01	gtdb_only
JABMQX01	gtdb_only
JABMRG01	gtdb_only
JABMRJ01	gtdb_only
JABMRN01	gtdb_only
JABMRZ01	gtdb_only
JABURT01	gtdb_only
JABWAM01	gtdb_only
JABWAT01	gtdb_only
JACAEB01	gtdb_only
JACCXJ01	gtdb_only
JACCXV01	gtdb_only
JACCYU01	gtdb_only
JACIWP01	gtdb_only
JACIWR01	gtdb_only
JACIXR01	gtdb_only
JACKNK01	gtdb_only
JACMRA01	gtdb_only
JACOVV01	gtdb_only
JACOXK01	gtdb_only
JACPGU01	gtdb_only
JACPKC01	gtdb_only
JACPPY01	gtdb_only
JACPQK01	gtdb_only
JACPRK01	gtdb_only
JACPWU01	gtdb_only
JACPZF01	gtdb_only
JACQBZ01	gtdb_only
JACQJN01	gtdb_only
JACQLN01	gtdb_only
JACQPE01	gtdb_only
JACQRZ01	gtdb_only
JACQVU01	gtdb_only
JACQXL01	gtdb_only
JACQXS01	gtdb_only
JACRDZ01	gtdb_only
JACRGW01	gtdb_only
JACRHJ01	gtdb_only
JACRMK01	gtdb_only
JACROU01	gtdb_only
JACVQG01	gtdb_only
JADFCW01	gtdb_only
JADFVX01	gtdb_only
JADGBV01	gtdb_only
JADLBR01	gtdb_only
JAENJC01	gtdb_only
JAEUKQ01	gtdb_only
JAFGEY01	gtdb_only
JAFGHF01	gtdb_only
JAFGJP01	gtdb_only
JAFGJU01	gtdb_only
JAFGOL01	gtdb_only
JAFGQG01	gtdb_only
JAFGXH01	gtdb_only
JAGLHV01	gtdb_only
JAGOAT01	gtdb_only
JAGOMX01	gtdb_only
JAGOUN01	gtdb_only
JAGOZY01	gtdb_only
JAGPKW01	gtdb_only
JAHEKZ01	gtdb_only
JAHEXW01	gtdb_only
JAHIHE01	gtdb_only
JAHIPI01	gtdb_only
JAHISY01	gtdb_only
JAHIVN01	gtdb_only
JAHJDO01	gtdb_only
JAHJGZ01	gtdb_only
JAHJRV01	gtdb_only
JAHJTE01	gtdb_only
JAHWKV01	gtdb_only
JAIQFV01	gtdb_only
JAJFIK01	gtdb_only
JAJFKG01	gtdb_only
JAJRVZ01	gtdb_only
JAJZIM01	gtdb_only
JAKAPS01	gtdb_only
JAKBBU01	gtdb_only
JAKLKS01	gtdb_only
JALEGL01	gtdb_only
JAMCPX01	gtdb_only
JAMCZE01	gtdb_only
JAMDAP01	gtdb_only
JANLFM01	gtdb_only
JANWVE01	gtdb_only
JGIOTU-2	gtdb_only
Jiangellales	gtdb_only
KS3-K002	gtdb_only
Kazan-3B-28	gtdb_only
LBFQ01	gtdb_only
LD1-PB3_A	gtdb_only
LD1-PB3_B	gtdb_only
LLD-282	gtdb_only
Leptolyngbyales	gtdb_only
Levybacterales	gtdb_only
M2410	gtdb_only
M30B66	gtdb_only
M55B111	gtdb_only
MAG-NZ	gtdb_only
MED-G09	gtdb_only
ML615J-28	gtdb_only
MSB-5A5	gtdb_only
MVCY01	gtdb_only
MWAK01	gtdb_only
MWCT01	gtdb_only
Magasanikbacterales	gtdb_only
Mcinerneyibacteriales	gtdb_only
MnTg04	gtdb_only
Moduliflexales	gtdb_only
Moranbacterales	gtdb_only
Mycoplasmatales	gtdb_only
NMUJ01	gtdb_only
NORP286	gtdb_only
NPL-UPA2	gtdb_only
NS11-12g	gtdb_only
O2-12-FULL-45-9	gtdb_only
OLB7	gtdb_only
OPB41	gtdb_only
Obscuribacterales	gtdb_only
Omnitrophales	gtdb_only
P2-11E	gtdb_only
PCC-6307	gtdb_only
