source	clade_size	clade_members
gtdb_only	2	Burkholderiaceae_C,Burkholderiaceae_D
gtdb_only	2	Chitinibacteraceae,Chitinimonadaceae
gtdb_only	2	QYQD01,RBG-13-43-22
gtdb_only	2	B62-G9,JAAYUW01
gtdb_only	2	S145-22,Tharpellaceae
gtdb_only	2	HGW-17,Nannocystaceae
gtdb_only	2	Arcobacteraceae,BB28
gtdb_only	2	Muirbacteriaceae,UBA9980
gtdb_only	2	Kordiimonadaceae,Rhodothalassiaceae
gtdb_only	2	DTU014,DTU025
gtdb_only	2	SZUA-567,UBA11346
gtdb_only	2	JADJMO01,Polyangiaceae
gtdb_only	2	Cellvibrionaceae,Porticoccaceae
gtdb_only	2	Algiphilaceae,Nevskiaceae
gtdb_only	2	DC-out160,Ketobacteraceae
gtdb_only	2	NGM72-4,UBA8199
gtdb_only	2	CAG-272,CAG-382
gtdb_only	2	UBA5500,UBA994
gtdb_only	2	Micromonosporaceae,Pseudonocardiaceae
gtdb_only	2	UBA4151,VGSZ01
gtdb_only	2	DUMW01,JAAZLZ01
gtdb_only	2	UBA2136,UBA6156
gtdb_only	2	CR04bin15,DRLW01
gtdb_only	2	Cohaesibacteraceae,GCA-2746425
gtdb_only	2	Terasakiellaceae,Thalassospiraceae
gtdb_only	2	DSM-1321,DSM-18226
gtdb_only	2	Marinococcaceae,Salisediminibacteriaceae
gtdb_only	2	Bacillaceae_D,Bacillaceae_F
gtdb_only	2	Filifactoraceae,Peptostreptococcaceae
gtdb_only	2	DUMJ01,Thermodesulfobiaceae
gtdb_only	2	JAFLJP01,SZUA-152
gtdb_only	2	GCA-2400775,VBWC01
gtdb_only	2	Bacillaceae_N,Bacillaceae_O
gtdb_only	2	Cyclonatronaceae,HLUCCA01
gtdb_only	2	F1-140-MAGs086,UBA6906
gtdb_only	2	AABM5-125-24,B3-LCP
gtdb_only	2	FEN-1343,SM23-33
gtdb_only	2	Methylopilaceae,Xanthobacteraceae
gtdb_only	2	B1SED10-159,DTU010
gtdb_only	2	Chromatiaceae,Sedimenticolaceae
gtdb_only	2	JAJYTV01,Sulfobacillaceae
gtdb_only	2	NBRC-103111,UBA4045
gtdb_only	2	Psychrobiaceae,Shewanellaceae
gtdb_only	2	MES13,SIT17
gtdb_only	2	DTU080,RSA5
gtdb_only	2	Gaiellaceae,Miltoncostaeaceae
gtdb_only	2	Halieaceae,UBA7434
gtdb_only	2	PWMO01,PXBQ01
gtdb_only	2	AKS1,S012-40
gtdb_only	2	Anammoxibacteraceae,Scalinduaceae
gtdb_only	2	WYAZ01,XYA12-FULL-58-9
gtdb_only	2	Moritellaceae,Psychromonadaceae
gtdb_only	2	QOAL01,UBA3076
gtdb_only	2	Caldilineaceae,DUEN01
gtdb_only	2	Rhodocyclaceae,UBA3065
gtdb_only	2	Alkalibacteraceae,Eubacteriaceae
gtdb_only	2	Christensenellaceae,SZUA-584
gtdb_only	2	Marispirochaetaceae,UBA9216
gtdb_only	2	DTU083,UBA3941
gtdb_only	2	GCA-2746185,SLHB01
gtdb_only	2	Ch109,Thermacetogeniaceae
gtdb_only	2	Denitrovibrionaceae,Mucispirillaceae
gtdb_only	2	DTU086,Desulfitibacteraceae
gtdb_only	2	Devosiaceae,OSC116
gtdb_only	2	JAAXVQ01,Palsa-1178
gtdb_only	2	UBA2174_A,UBA5852
gtdb_only	2	DUMU01,Limnochordaceae
gtdb_only	2	JAFGTP01,UBA2242
gtdb_only	2	Bacillaceae_C,DSM-25281
gtdb_only	2	Geoalkalibacteraceae,Geothermobacteraceae
gtdb_only	2	Calditerrivibrionaceae,Deferrivibrionaceae
