rank	n_tips	RF_raw	RF_normalized	ClusteringInfoDistance	TransferDistance_normalized
family	1072	1496	0.699719363891487	0.363391222273454	0.412537135477761
order	561	818	0.732974910394265	0.415385726822619	0.443907341642746
class	246	392	0.806584362139918	0.472629197315452	0.525649659133787
phylum	99	164	0.854166666666667	0.519000781520332	0.561540252213931
